OriginStopId;DestinationStopId;Distance
40126;40085;429
40122;40085;670
40085;40852;1277
40852;40866;1070
40764;40085;808
40866;40764;619
40764;40760;763
40760;40742;964
40121;40088;607
40088;40742;1743
40742;40738;309
40738;40736;93
40738;40734;688
40038;40018;1190
40734;12064;3978
12064;10030;1940
40018;40010;1653
40010;10036;4653
40040;40018;1216
12064;10036;2015
40736;40040;93
40738;40038;601
